model,accuracy,precision,recall,f1,avg_rank
efficientnet,0.9969,0.9911,0.9787,0.9848,1.75
mobilenetv2,0.9954,0.9922,0.9636,0.9777,2.25
resnet18,0.9951,0.9961,0.9573,0.9763,2.50
residual,0.9881,0.9930,0.8921,0.9399,3.50
attention,0.9695,0.9812,0.7215,0.8315,5.75
improved,0.9676,0.9407,0.7365,0.8262,6.75
bn,0.9663,0.9821,0.6901,0.8106,6.75
large,0.9525,0.7935,0.7378,0.7646,8.50
baseline,0.9536,0.9203,0.6085,0.7326,9.00
threeconv,0.9508,0.9137,0.5847,0.7131,10.25
tiny,0.9478,0.9463,0.5307,0.6801,10.25
small,0.9409,0.9482,0.4592,0.6188,10.75
